id,question,reason,query_id,input_text,retrieved_indices,retrieved_scores,method
764,"""은주는 방에 들어가 문을 닫았다. {그러곤/그리곤} 한참 뒤에야 밖으로 나왔다."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.","'그러고 나서'의 준말인 '그리고 나서'는 '그러고'와 '그리고'의 합성어이다. 따라서 '그러고'와 '나서다'의 합성으로 '그러곤 나서다'가 되고, '그리고'와 '나서다'의 합성으로 '그리곤 나서다'가 된다. 그러나 '그러고'와 '그리고'는 모두 '그렇게'의 준말인 '그렇고'의 발음이 바뀐 것이다. 따라서 '그러고'와 '그리고'는 모두 '그렇고'의 준말인 '그렇곤'의 발음이 바뀐 것이므로 '그렇곤 나서다'로 통일해야 한다.",14,"'그러고 나서'의 준말인 '그리고 나서'는 '그러고'와 '그리고'의 합성어이다. 따라서 '그러고'와 '나서다'의 합성으로 '그러곤 나서다'가 되고, '그리고'와 '나서다'의 합성으로 '그리곤 나서다'가 된다. 그러나 '그러고'와 '그리고'는 모두 '그렇게'의 준말인 '그렇고'의 발음이 바뀐 것이다. 따라서 '그러고'와 '그리고'는 모두 '그렇고'의 준말인 '그렇곤'의 발음이 바뀐 것이므로 '그렇곤 나서다'로 통일해야 한다.","[104, 39, 83, 18, 122, 57, 92, 27, 99, 34]","[0.8395041823387146, 0.8395041823387146, 0.826431930065155, 0.826431930065155, 0.8247909545898438, 0.8247909545898438, 0.8223493099212646, 0.8223493099212646, 0.8201054930686951, 0.8201054930686951]",method2_semantic_embedding
765,"다음 문장에서 어문 규범에 부합하지 않는 부분을 찾아 고치고, 그 이유를 설명하세요.
""연습을 열심히 하면 발표를 잘할수 있다.""","'일정한 기준에 따라 한 가지의 선택을 하거나, 한 가지의 결과를 낳는 것'을 나타내는 '수'는 보조 용언이다. 따라서 본 용언 '할' 뒤에 따라 쓴다.",15,"'일정한 기준에 따라 한 가지의 선택을 하거나, 한 가지의 결과를 낳는 것'을 나타내는 '수'는 보조 용언이다. 따라서 본 용언 '할' 뒤에 따라 쓴다.","[78, 13, 83, 18, 92, 27, 104, 39, 122, 57]","[0.8616833090782166, 0.8616833090782166, 0.8587860465049744, 0.8587860465049744, 0.8581640720367432, 0.8581640720367432, 0.8518615961074829, 0.8518615961074829, 0.8427064418792725, 0.8427064418792725]",method2_semantic_embedding
766,"""{챌린저/첼린저}"" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",첼린저(Challenger)의 원어 발음은 [ˈtʃælɪndʒə]로 [tʃ]는 '첼'로 표기한다. 따라서 '첼린저'가 옳다.,16,첼린저(Challenger)의 원어 발음은 [ˈtʃælɪndʒə]로 [tʃ]는 '첼'로 표기한다. 따라서 '첼린저'가 옳다.,"[169, 176, 168, 167, 174, 86, 21, 166, 171, 172]","[0.7900902628898621, 0.7527279853820801, 0.7521457672119141, 0.7434475421905518, 0.7284243702888489, 0.7172588109970093, 0.7172588109970093, 0.7099627256393433, 0.7097841501235962, 0.7075506448745728]",method2_semantic_embedding
767,"다음 문장이 어문 규범에 부합하도록 문장 부호를 추가하고, 그 이유를 설명하세요.
―""'12345'처럼 5개의 숫자가 있을 때 네 번째로 큰 수는?""이라고 물어보는 질문.",큰따옴표는 말을 직접 인용할 때 쓴다.,17,큰따옴표는 말을 직접 인용할 때 쓴다.,"[151, 155, 124, 59, 141, 152, 142, 104, 39, 149]","[0.8816564083099365, 0.8617937564849854, 0.763077974319458, 0.763077974319458, 0.7578253149986267, 0.7573215365409851, 0.7486351728439331, 0.7343422770500183, 0.7343422770500183, 0.7339958548545837]",method2_semantic_embedding
768,"다음 문장에서 어문 규범에 부합하지 않는 부분을 찾아 고치고, 그 이유를 설명하세요.
― 서로 통했다!라고 하며 부둥켜 안았다",우리말 문장에서는 말을 인용할 때 인용부호를 쓴다.,18,우리말 문장에서는 말을 인용할 때 인용부호를 쓴다.,"[151, 155, 124, 59, 152, 141, 104, 39, 149, 142]","[0.8712616562843323, 0.8534801006317139, 0.8146716356277466, 0.8146716356277466, 0.807725191116333, 0.8053750991821289, 0.8048785328865051, 0.8048785328865051, 0.7966194152832031, 0.793921172618866]",method2_semantic_embedding
769,"""물을 {부워/부어} 두고 면이 붇기 전에 드세요."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",'부어'는 '부르다'의 어간 '부르-'에 어미 '-어'가 결합한 형태이다. 이는 '부르다'의 본용법이므로 '부르다'의 어간에 '-이'가 결합한 '부리다'와 구별하여 '부르-이'로 적는다. 따라서 '부르-이'에 '-어'가 결합한 '부르-이어'를 줄여 '부어'로 적는다.,19,'부어'는 '부르다'의 어간 '부르-'에 어미 '-어'가 결합한 형태이다. 이는 '부르다'의 본용법이므로 '부르다'의 어간에 '-이'가 결합한 '부리다'와 구별하여 '부르-이'로 적는다. 따라서 '부르-이'에 '-어'가 결합한 '부르-이어'를 줄여 '부어'로 적는다.,"[96, 31, 99, 34, 102, 37, 92, 27, 104, 39]","[0.853110671043396, 0.853110671043396, 0.8488840460777283, 0.8488840460777283, 0.8457759618759155, 0.8457759618759155, 0.8451438546180725, 0.8451438546180725, 0.8333331346511841, 0.8333331346511841]",method2_semantic_embedding
770,"""접수증을 직접 드리거나 휴대 전화 문자 {메세지/메시지} 또는 전자 우편으로 보내드립니다."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",'메시지'는 '메세지'가 아닌 '메시지'로 적는다. '메시지'의 원어 발음은 [mesidʒ]로 [ʃ]는 '시'로 적는다. 따라서 '메시지'가 옳다.,20,'메시지'는 '메세지'가 아닌 '메시지'로 적는다. '메시지'의 원어 발음은 [mesidʒ]로 [ʃ]는 '시'로 적는다. 따라서 '메시지'가 옳다.,"[168, 63, 128, 177, 72, 7, 64, 129, 86, 21]","[0.7699615955352783, 0.7671359181404114, 0.7671166062355042, 0.7649340033531189, 0.7646713256835938, 0.7646713256835938, 0.7626367807388306, 0.762583315372467, 0.7623776197433472, 0.7623776197433472]",method2_semantic_embedding
771,"""간밤에 늦게 잤더니 아침 늦게 눈이 {띄여/뜨여} 큰일 날 뻔했다."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",'뜨여'는 '뜨다'의 어간 '뜨-'에 어미 '어'가 결합한 형태이다. 이때 '뜨-'의 받침 'ㅡ'는 모음으로 치환하여 '뜨어'로 적는다. '뜨여'는 이러한 규칙에 따라 '뜨어'로 줄여 적는다.,21,'뜨여'는 '뜨다'의 어간 '뜨-'에 어미 '어'가 결합한 형태이다. 이때 '뜨-'의 받침 'ㅡ'는 모음으로 치환하여 '뜨어'로 적는다. '뜨여'는 이러한 규칙에 따라 '뜨어'로 줄여 적는다.,"[99, 34, 95, 30, 92, 27, 104, 39, 96, 31]","[0.8564903736114502, 0.8564903736114502, 0.8491081595420837, 0.8491081595420837, 0.8446438312530518, 0.8446438312530518, 0.8362045288085938, 0.8362045288085938, 0.8333752155303955, 0.8333752155303955]",method2_semantic_embedding
772,"""꼭 {기억하십시오/기억하십시요}."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.","'-시/-으시'가 붙는 것은 '그것을 하다'라는 뜻의 동사가 있는 경우에만 사용할 수 있다. '기억하다'는 '그것을 하다'라는 뜻의 동사이므로 '-시'를 붙여 '기억하시다'라고 할 수 있다. 그러나 '-시'를 붙여도 '그것을 하다'라는 뜻이 명확하지 않거나, '-시'를 붙여도 의존 명사로 쓰이는 경우는 인정하지 않는다. 따라서 '기억하시다'가 아닌 '기억하십시요'라고 해야 한다.",22,"'-시/-으시'가 붙는 것은 '그것을 하다'라는 뜻의 동사가 있는 경우에만 사용할 수 있다. '기억하다'는 '그것을 하다'라는 뜻의 동사이므로 '-시'를 붙여 '기억하시다'라고 할 수 있다. 그러나 '-시'를 붙여도 '그것을 하다'라는 뜻이 명확하지 않거나, '-시'를 붙여도 의존 명사로 쓰이는 경우는 인정하지 않는다. 따라서 '기억하시다'가 아닌 '기억하십시요'라고 해야 한다.","[99, 34, 92, 27, 102, 37, 103, 38, 96, 31]","[0.8563891649246216, 0.8563891649246216, 0.8499821424484253, 0.8499821424484253, 0.8464493155479431, 0.8464493155479431, 0.8432562947273254, 0.8432562947273254, 0.8413459062576294, 0.8413459062576294]",method2_semantic_embedding
773,"""잎의 윗면은 녹갈색을 띠고, 아랫면은 연한 {회록색/회녹색}을 띤다."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.","'녹갈색'은 '녹색'과 '갈색'의 합성어이며, '갈색'은 '갈다'의 파생형이다. 이때 '갈다'는 '갈다'와 '갈아'가 각각 독립적인 단어이기 때문에 '갈색'이 '녹색'에 붙을 때는 '갈색'이 하나의 단어로 인식된다. 따라서 '녹갈색'은 '녹색'과 '갈색'의 합성어로 해석된다. 반면 '회록색'은 '회색'과 '녹색'의 합성어이므로 '회록색'이 하나의 단어로 인식된다.",23,"'녹갈색'은 '녹색'과 '갈색'의 합성어이며, '갈색'은 '갈다'의 파생형이다. 이때 '갈다'는 '갈다'와 '갈아'가 각각 독립적인 단어이기 때문에 '갈색'이 '녹색'에 붙을 때는 '갈색'이 하나의 단어로 인식된다. 따라서 '녹갈색'은 '녹색'과 '갈색'의 합성어로 해석된다. 반면 '회록색'은 '회색'과 '녹색'의 합성어이므로 '회록색'이 하나의 단어로 인식된다.","[104, 39, 83, 18, 92, 27, 78, 13, 122, 57]","[0.8585688471794128, 0.8585688471794128, 0.8385574817657471, 0.8385574817657471, 0.8222891092300415, 0.8222891092300415, 0.819089412689209, 0.819089412689209, 0.8184522986412048, 0.8184522986412048]",method2_semantic_embedding
774,"""올 {한 해/한해}도 고생 많으셨어요."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",'한 해'는 하나의 단어이다. 따라서 띄어 쓰지 않고 붙여 쓴다.,24,'한 해'는 하나의 단어이다. 따라서 띄어 쓰지 않고 붙여 쓴다.,"[130, 139, 133, 136, 104, 39, 165, 138, 83, 18]","[0.8248087763786316, 0.8229491710662842, 0.8229048848152161, 0.8186259269714355, 0.8120142221450806, 0.8120142221450806, 0.8118458390235901, 0.8083961606025696, 0.8035764098167419, 0.8035764098167419]",method2_semantic_embedding
775,"다음 문장에서 어문 규범에 부합하지 않는 부분을 찾아 고치고, 그 이유를 설명하세요.
""쌀아기를 얻어서 죽이라도 쑤어 먹어라.""","'쑤다'는 '쑤어'로 활용되며, '쑤어 먹다'는 '쑤어 먹다'로 하나의 단어이다. 따라서 '쑤어 먹다'는 '쑤어 먹다'로 적어야 한다.",25,"'쑤다'는 '쑤어'로 활용되며, '쑤어 먹다'는 '쑤어 먹다'로 하나의 단어이다. 따라서 '쑤어 먹다'는 '쑤어 먹다'로 적어야 한다.","[68, 3, 104, 39, 83, 18, 127, 62, 84, 19]","[0.7798429131507874, 0.7798429131507874, 0.7491136789321899, 0.7491136789321899, 0.7468744516372681, 0.7468744516372681, 0.7458645105361938, 0.7458645105361938, 0.7430908679962158, 0.7430908679962158]",method2_semantic_embedding
776,"""바빠서 점심을 먹지 {못했다/못 했다}."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",'못하다'는 하나의 단어이므로 별개의 단어가 아니다. 따라서 앞말과 띄어 쓰지 않고 붙여 쓴다.,26,'못하다'는 하나의 단어이므로 별개의 단어가 아니다. 따라서 앞말과 띄어 쓰지 않고 붙여 쓴다.,"[104, 39, 83, 18, 136, 137, 92, 27, 165, 139]","[0.8820529580116272, 0.8820529580116272, 0.8538177609443665, 0.8538177609443665, 0.849491536617279, 0.8460755944252014, 0.8416306972503662, 0.8416306972503662, 0.8379753828048706, 0.8352532386779785]",method2_semantic_embedding
777,"다음 문장에서 어문 규범에 부합하지 않는 부분을 찾아 고치고, 그 이유를 설명하세요.
""오늘은 벼씨를 논에 뿌릴 것이다.""",'뿌리다'는 '뿌리다'와 '뿌리리다'의 두 가지 어형이 존재한다. 이때 '뿌리다'는 '뿌리다'의 어간에 '-ㄹ'이 붙지 않는 형태이므로 '뿌리리다'가 아닌 '뿌리다'로 적는다. 따라서 '뿌리다'의 어간에 '-ㄹ'이 붙는 형태인 '뿌려다'가 유효하므로 '논에 씨를 뿌려둘 것이다'가 옳다.,27,'뿌리다'는 '뿌리다'와 '뿌리리다'의 두 가지 어형이 존재한다. 이때 '뿌리다'는 '뿌리다'의 어간에 '-ㄹ'이 붙지 않는 형태이므로 '뿌리리다'가 아닌 '뿌리다'로 적는다. 따라서 '뿌리다'의 어간에 '-ㄹ'이 붙는 형태인 '뿌려다'가 유효하므로 '논에 씨를 뿌려둘 것이다'가 옳다.,"[99, 34, 96, 31, 100, 35, 92, 27, 102, 37]","[0.841728150844574, 0.841728150844574, 0.8413350582122803, 0.8413350582122803, 0.8394856452941895, 0.8394856452941895, 0.8370892405509949, 0.8370892405509949, 0.8313875198364258, 0.8313875198364258]",method2_semantic_embedding
778,"다음 문장에서 어문 규범에 부합하지 않는 부분을 찾아 고치고, 그 이유를 설명하세요.
""저희 회사가 자신 있게 선 보이는 신제품입니다.""","'보이(시)다'의 활용형인 '보이다', '보인다', '보였따' 등은 '보이다'로 통일하여 적는다. '보이(시)다'의 활용형을 '보이다'로 통일하여 적는 것은 '보이다'가 본래의 형태이기 때문이다.",28,"'보이(시)다'의 활용형인 '보이다', '보인다', '보였따' 등은 '보이다'로 통일하여 적는다. '보이(시)다'의 활용형을 '보이다'로 통일하여 적는 것은 '보이다'가 본래의 형태이기 때문이다.","[92, 27, 83, 18, 104, 39, 96, 31, 78, 13]","[0.8362823724746704, 0.8362823724746704, 0.8310543894767761, 0.8310543894767761, 0.8249741196632385, 0.8249741196632385, 0.8194392323493958, 0.8194392323493958, 0.8190581798553467, 0.8190581798553467]",method2_semantic_embedding
779,"""신선하다는 뜻의 {플레시/프레시}."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",프레시(fresh)의 원어 발음은 [fres]로 [e]는 'ㅔ'로 표기한다. 따라서 '프레시'가 옳다.,29,프레시(fresh)의 원어 발음은 [fres]로 [e]는 'ㅔ'로 표기한다. 따라서 '프레시'가 옳다.,"[168, 174, 167, 160, 177, 171, 86, 21, 158, 64]","[0.7518302202224731, 0.7478548288345337, 0.7373801469802856, 0.7286379933357239, 0.72603440284729, 0.7211413383483887, 0.7211059331893921, 0.7211059331893921, 0.7211024165153503, 0.7175169587135315]",method2_semantic_embedding
780,"""이번 축구 경기에서 철수가 {패스/패쓰}를 잘했다."" 가운데 올바른 것을 선택하고, 그 이유를 설명하세요.",패스(pass)의 원어 발음은 [pæs]로 [æ]는 '애'로 적는다. 따라서 '패스'가 옳다.,30,패스(pass)의 원어 발음은 [pæs]로 [æ]는 '애'로 적는다. 따라서 '패스'가 옳다.,"[86, 21, 167, 104, 39, 177, 66, 1, 121, 56]","[0.7873554229736328, 0.7873554229736328, 0.7835465669631958, 0.7809157967567444, 0.7809157967567444, 0.7796977162361145, 0.7796663641929626, 0.7796663641929626, 0.7776188254356384, 0.7776188254356384]",method2_semantic_embedding
