query_id,input_text,retrieved_indices,retrieved_scores,method
51,국에 다진 마늘을 듬뿍 넣어라.,"[2, 67, 13, 78, 23, 88, 42, 107, 60, 125, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
52,왜 자꾸 청다보는 거야.,"[163, 14, 79, 13, 78, 141, 148, 172, 140, 145, 149, 150]","[82.0, 82.0, 82.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
53,치수를 재 보자.,"[160, 163, 14, 79, 7, 72, 39, 104, 42, 107, 149]","[82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 74.0]",method1_keyword_rule_based
54,플래시를 터뜨리다.,"[165, 14, 79, 168, 160, 163, 23, 88]","[101.0, 101.0, 101.0, 91.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based
55,오늘 저녁은 다슬깃굿이다.,"[44, 109, 160, 161, 162, 163, 15, 80, 149]","[99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
56,너 그렇게 하다가 분명 후회할 거야.,"[7, 72, 30, 95, 53, 118, 31, 96, 45, 110, 46, 111, 163, 149]","[137.0, 137.0, 99.0, 99.0, 99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 74.0]",method1_keyword_rule_based
57,"월, 수, 금 모두 행사가 있다.","[17, 82, 1, 66, 11, 76, 19, 84, 24, 89, 54, 119, 14, 79, 39, 104, 60, 125, 145, 59, 124, 7, 72]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
58,후라이팬을 사용해서 요리를 했다.,"[163, 7, 46, 72, 111, 14, 79, 160, 161, 162]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
59,여기는 군사적인 시설로서 바깥쪽엔 해자가 있다.,"[163, 160]","[82.0, 82.0]",method1_keyword_rule_based
60,2023. 4.~9.,[],[],method1_keyword_rule_based
61,원가 계산을 합니까? 안 합니까?,"[46, 111, 163, 142, 149, 155]","[82.0, 82.0, 82.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
62,디렉터리 구조를 분석해 보자.,"[140, 163, 7, 72, 30, 95, 23, 88]","[89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0, 72.0]",method1_keyword_rule_based
63,이번 박람회에서는 반드시 우리 회사의 신제품을 선봬야 한다.,"[37, 102, 59, 124, 142, 144, 153, 160, 161, 162, 163]","[171.0, 171.0, 91.0, 91.0, 89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
64,어머니를 잃고 홀로 밭일을 하는 아버지의 마음도 얼마나 침울했으랴.,"[14, 79, 137, 163, 160, 161, 149, 155]","[94.0, 94.0, 91.0, 82.0, 77.0, 77.0, 76.0, 76.0]",method1_keyword_rule_based
65,이전 확장 개업을 축하합니다.,"[160, 161, 162, 163, 46, 111]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
66,그럼요. 지금 합니다. 해요.,"[145, 140, 141, 160, 163, 161, 162, 155, 14, 79]","[99.0, 89.0, 89.0, 82.0, 82.0, 77.0, 77.0, 76.0, 74.0, 74.0]",method1_keyword_rule_based
67,그는 내 소설을 마음에 들었다.,"[160, 161, 162, 46, 111, 30, 95, 45, 110, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 8, 73, 163]","[137.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
68,머리가 히끗한 할머니께서 나오셨다.,"[2, 67, 12, 77, 42, 107, 11, 76, 160, 163, 161, 155]","[99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 94.0, 94.0, 82.0, 82.0, 77.0, 76.0]",method1_keyword_rule_based
69,계란프라이를 먹었다.,"[163, 160, 161, 162]","[77.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
70,1920년대에는 식민지 조선에도 신여성이 등장하기 시작했다.,"[22, 87, 145, 163, 160]","[99.0, 99.0, 89.0, 82.0, 77.0]",method1_keyword_rule_based
71,선생님 덕분에 병이 다 낫습니다.,"[149, 30, 95, 39, 104, 42, 107, 14, 79, 10, 75, 11, 76, 141]","[91.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 76.0]",method1_keyword_rule_based
72,그 집은 부모 자식 간 정이 두터운 것 같더라.,"[160, 161, 162, 30, 95, 45, 110, 5, 70, 163, 145]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
73,모두들 만나서 반갑습니다.,"[7, 72, 5, 70, 163, 46, 111, 142, 149, 152, 154, 160, 161]","[96.0, 96.0, 82.0, 82.0, 82.0, 77.0, 77.0, 74.0, 74.0, 74.0, 74.0, 72.0, 72.0]",method1_keyword_rule_based
74,많은 양의 흰자위가 노른자위를 에워싸고 있음.,"[11, 76, 14, 79, 19, 84, 23, 88, 160, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based
75,"그것으로부터 시작된 질문: 영혼은 찢어지는 물성인가, 금가고 깨어지는 물성인가 하는 물음 사이","[45, 110, 142, 14, 79, 160, 161, 162, 163, 149, 151, 148, 150, 152, 156]","[99.0, 99.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
76,용의자가 실종된 그 날은 비가 내렸다.,"[14, 79, 163, 148, 149, 150, 152, 156]","[82.0, 82.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
77,그는 밥을 먹으면서 까지도 연신 말을 해 댔다.,"[160, 161, 162, 30, 95, 45, 110, 42, 107, 10, 75, 11, 76, 7, 46, 72, 111]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
78,낮고 둥근 대좌는 연꽃잎이 돋을새김되어 있으며 아래 부분은 없어진 것으로 보인다.,"[30, 95, 11, 76, 163]","[169.0, 169.0, 99.0, 99.0, 82.0]",method1_keyword_rule_based
79,짜장을 얼굴에 다 무쳤으면 먹었다.,"[4, 69, 163, 160]","[72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
80,씻고 준비하고 있으랬더니 이때 뭐 했어?,"[27, 92, 163, 160]","[99.0, 99.0, 82.0, 82.0]",method1_keyword_rule_based
81,모든 서류가 다 있는데도 통과되지 못했다.,"[5, 70, 163, 7, 72, 46, 111]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
82,내 사촌 동생은 엄청난 개구장이이다.,"[46, 111, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 163, 14, 79]","[137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
83,제가 잘 못 들었나 봐요.,"[163, 11, 76, 14, 79, 13, 78, 42, 107, 25, 90, 41, 106, 58, 123, 59, 124, 52, 117]","[137.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
84,옛몸은 땅에 묻혀 잠들어 있다.,"[2, 67, 39, 104, 42, 107, 14, 79, 60, 125, 156]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0]",method1_keyword_rule_based
85,이번 사업의 성공률은 상당히 높다.,"[142, 144, 153, 160, 161, 162, 163]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
86,이 냄비는 열보존률이 높지 않다.,"[21, 86, 160, 161, 162, 163, 5, 70, 14, 79]","[169.0, 169.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
87,지원: [놀란 표정을 지으며] 벌써 역에 도착했다고?,"[160, 163, 6, 71]","[82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
88,저때 얘기했던 그 사람이 드디어 왔다.,"[14, 79, 56, 121, 163, 7, 72, 13, 78]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based
89,"잘 사는 사람들은 더 잘 살고, 상대적으로 못 사는 사람들은 더 못 살게 느껴진다는 것이다.","[148, 163, 58, 123, 59, 124, 145, 152, 25, 90, 41, 106]","[89.0, 82.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
90,해당 사업은 아직 진행 중입니다.,"[14, 46, 79, 111, 163]","[82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
91,"육십갑자: 갑자, 을축, 병인, 정묘, 무진, 기사, 경오, 신미……신유, 임술, 계해","[37, 60, 102, 125, 163]","[99.0, 99.0, 99.0, 99.0, 82.0]",method1_keyword_rule_based
92,손으로 만지지 마. 짜지도 말고.,"[163, 44, 109, 26, 91, 160, 10, 75, 12, 77, 31, 96, 61, 126]","[137.0, 97.0, 97.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
93,내레이션이 나오기 시작했다.,"[160, 163, 46, 111, 161, 162, 149, 151]","[82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 74.0, 74.0]",method1_keyword_rule_based
94,토끼가 깡충깡충 뛰어갔다.,"[46, 111, 160, 163]","[94.0, 94.0, 72.0, 72.0]",method1_keyword_rule_based
95,탑신 각 면에는 양쪽 귀퉁이에 넓직한 우주를 두드러지게 본떠 새겨 둔중한 느낌이 난다.,"[14, 79, 13, 78, 24, 89, 0, 65, 11, 76, 42, 107, 53, 118, 30, 95]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
96,수업 시간에 샤프를 사용해서 공책에 문제를 풀었다.,"[15, 30, 80, 95, 160, 163, 161, 162]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
97,아직 한국말에 서툴러서 잘 알아듣지 못해도 이해해 줘.,"[7, 46, 72, 111, 25, 90, 41, 106, 58, 123, 59, 124]","[72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
98,아기가 엄마 품속에서 잠들 듯이 강아지도 어미에게 안겨 잠든다.,"[160, 161, 162, 163, 5, 70, 156]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based
99,시원한 물소리가 가슴을 틔워 주는 듯했다.,"[163, 8, 73, 23, 88, 46, 111, 160, 59, 124]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 74.0, 74.0]",method1_keyword_rule_based
100,할머니 집에 계신가요?,"[13, 78, 26, 91, 42, 107, 63, 128, 160, 161, 163, 155, 14, 79, 46, 111]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 76.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
101,그 투수는 직구도 매달 하지 않는 열정을 보였다.,"[160, 161, 162, 30, 95, 45, 110, 163]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 77.0]",method1_keyword_rule_based
102,내가 생각컨대 이 집은 터가 영 좋지 않다.,"[46, 111, 52, 117, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 14, 79]","[137.0, 137.0, 94.0, 94.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
103,무거운 액세서리는 오래 착용하기 힘들다.,"[4, 69, 163, 7, 46, 72, 111, 23, 88]","[77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based
104,감기를 예방하기 위해 마스크를 쓰다.,"[163, 8, 73]","[82.0, 82.0, 82.0]",method1_keyword_rule_based
105,이 일은 내가 처리할 거야.,"[160, 161, 162, 163, 46, 111, 5, 70, 14, 79, 24, 89, 30, 95, 42, 107, 56, 121, 7, 72, 13, 78, 21, 86, 39, 104]","[137.0, 137.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
106,억울하면 너도 큰소리로 말해!,"[7, 72, 31, 96, 45, 110, 163, 8, 73, 23, 88]","[137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based
107,유엔[United Nations],"[163, 142]","[82.0, 74.0]",method1_keyword_rule_based
108,"네 옷은 흙이 많이 묻었다.""라는 문장에서, '네 옷'은 주어로도 볼 수 있고 부사어로도 볼 수 있지 않을까요?","[7, 8, 72, 73, 163, 18, 83, 141, 145, 2, 39, 67, 104, 14, 79, 26, 91]","[137.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
109,새하얀 옷이 필요하다.,"[4, 69, 5, 70, 7, 72, 14, 79, 163, 2, 39, 67, 104, 26, 91]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based
110,윈도우 설치 후 보안 설정이 필요하다.,"[163, 160, 161, 162]","[137.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based
