query_id,input_text,retrieved_indices,retrieved_scores,method,num_results,max_score,min_score,avg_score
15,연습을 열심히 하면 발표를 잘할 수 있다.,"[7, 72, 62, 127, 163, 149]","[94.0, 94.0, 94.0, 94.0, 82.0, 74.0]",method1_keyword_rule_based,6,94.0,74.0,88.66666666666667
16,첼린저,[],[],method1_keyword_rule_based,0,0.0,0.0,0.0
17,"‘12345’처럼 5개의 숫자가 있을 때 네 번째로 큰 수는?""이라고 물어보는 질문.","[46, 111, 14, 79, 131, 42, 107, 4, 69, 5, 70, 19, 84, 23, 88, 28, 93, 31, 96, 32, 97, 33, 98, 163, 142]","[137.0, 137.0, 99.0, 99.0, 99.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based,25,137.0,74.0,88.68
18,"서로 통했다!""라고 하며 부둥켜 안았다.","[46, 111, 7, 72, 163, 13, 78, 14, 79, 140, 146, 59, 124]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based,13,169.0,74.0,92.92307692307692
19,물을 부어 두고 면이 붇기 전에 드세요.,"[13, 78, 14, 79, 30, 95, 42, 107, 160, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,10,82.0,82.0,82.0
20,접수증을 직접 드리거나 휴대 전화 문자 메시지 또는 전자 우편으로 보내드립니다.,"[39, 104, 146]","[82.0, 82.0, 74.0]",method1_keyword_rule_based,3,82.0,74.0,79.33333333333333
21,간밤에 늦게 잤더니 아침 늦게 눈이 뜨여 큰일 날 뻔했다.,"[15, 30, 80, 95, 163, 160, 161]","[82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based,7,82.0,77.0,80.57142857142857
22,꼭 기억하십시요.,"[163, 14, 79, 7, 72, 10, 75, 13, 78, 160]","[82.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,10,82.0,72.0,74.0
23,"잎의 윗면은 녹갈색을 띠고, 아랫면은 연한 회록색을 띤다.","[10, 75, 39, 104, 42, 107, 0, 65, 33, 98, 14, 79, 30, 95]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,14,82.0,77.0,79.85714285714286
24,올 한 해도 고생 많으셨어요.,"[61, 126, 30, 95, 33, 98, 14, 79, 46, 111, 163, 7, 55, 72, 120, 31, 96, 23, 88, 24, 89, 133, 5, 70, 22, 87]","[99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,26,99.0,72.0,79.65384615384616
25,쌀아기를 얻어서 죽이라도 쑤어 먹어라.,"[13, 78, 160, 161, 162, 163, 7, 46, 72, 111, 25, 90, 40, 105, 43, 108]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,16,82.0,72.0,77.0
26,바빠서 점심을 먹지 못했다.,"[30, 95, 145, 163, 160, 7, 46, 72, 111]","[99.0, 99.0, 89.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,9,99.0,77.0,84.33333333333333
27,오늘은 벼씨를 논에 뿌릴 것이다.,"[30, 95, 160, 161, 162, 163, 31, 96, 10, 75, 149, 43, 108, 137, 150, 24, 89, 54, 119, 59, 124]","[137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 74.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,21,137.0,72.0,81.14285714285714
28,저희 회사가 자신 있게 선보이는 신제품입니다.,"[22, 87, 163, 14, 79]","[89.0, 89.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,5,89.0,82.0,84.8
29,신선하다는 뜻의 '프레시'.,"[163, 13, 78, 160, 161, 162, 53, 118, 30, 95, 14, 79, 60, 125]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,14,82.0,72.0,77.28571428571429
30,이번 축구 경기에서 철수가 패스를 잘했다.,"[142, 144, 153, 160, 161, 162, 163]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,7,89.0,82.0,85.0
31,내 고향은 서울에서 거리도 멀뿐더러 교통편도 좋지 않다.,"[46, 111, 23, 88, 144, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 163, 59, 124, 146]","[137.0, 137.0, 94.0, 94.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based,19,137.0,74.0,88.15789473684211
32,다이어트를 할 때는 운동과 식단의 발란스가 중요하다.,"[14, 79, 56, 121, 30, 95, 39, 104, 61, 126, 13, 78, 160, 161, 162, 163, 33, 98, 59, 124]","[82.0, 82.0, 82.0, 82.0, 79.0, 79.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,20,82.0,72.0,76.2
33,"이번 전시회의 주제는 '어린 시절의 회상, 함께 읽는 일기'이다.","[142, 144, 153, 160, 161, 162, 163]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,7,89.0,82.0,85.0
34,저 산을 넘지 못해. 저 푯말에 '출입 금지'라고 되어 있는 걸.,"[28, 93, 14, 79, 160, 163, 17, 82, 37, 53, 102, 118, 44, 109, 52, 117, 11, 76]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,18,82.0,77.0,78.66666666666667
35,"「한국수화언어법」 제4조 제1항""은 옳다. 법 조항을 표기할 때는 법명과 조항을 모두 밀착하여 쓰고, 법 조항의 앞뒤에 큰따옴표를 쓴다.","[60, 125, 163, 160, 11, 76, 14, 79, 13, 78, 42, 107]","[169.0, 169.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,12,169.0,77.0,99.41666666666667
36,"탕평채는 조선 시대의 궁중 요리인데, 영조가 탕평책을 논하는 자리에서 처음 등장했다는 데에서 이름이 유래했다.","[145, 163, 160, 142]","[89.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based,4,89.0,74.0,81.75
37,1919. 3. 1.,[],[],method1_keyword_rule_based,0,0.0,0.0,0.0
38,"안녕하세요, 과장님.","[142, 146, 150, 7, 46, 72, 111, 163]","[74.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,8,74.0,72.0,72.75
39,도큐멘터리를 만들다.,"[163, 23, 88]","[82.0, 82.0, 82.0]",method1_keyword_rule_based,3,82.0,82.0,82.0
40,번번히 시험에서 떨어지는 것을 보면 아무래도 나랑은 안 맞는 길 같다.,"[160, 163, 144]","[82.0, 82.0, 74.0]",method1_keyword_rule_based,3,82.0,74.0,79.33333333333333
41,설명은 뒷페이지를 참고하시오.,"[163, 160, 161, 162]","[82.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,4,82.0,77.0,78.25
42,"지점장이 경찰서에 고소하자고 해서, 제가 '일단 기다려봅시다. 누구 교도소에 보내면 쓰겠습니까?'라고 말했습니다.","[160, 163, 7, 46, 72, 111, 8, 73]","[82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based,8,82.0,72.0,77.0
43,콩팥 기능이 정상인 경우 임신률은 일반인과 차이가 없습니다.,[163],[82.0],method1_keyword_rule_based,1,82.0,82.0,82.0
44,공짜라길래 잔뜩 가져왔다.,"[60, 125, 31, 96, 42, 107, 10, 75, 13, 78, 14, 79]","[169.0, 169.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,12,169.0,77.0,94.0
45,"초등학생, 중학생 등 미성년자는 보호자를 동반해야 입장 가능합니다.","[13, 78, 14, 79, 145, 163]","[82.0, 82.0, 77.0, 77.0, 76.0, 72.0]",method1_keyword_rule_based,6,82.0,72.0,77.66666666666667
46,녀석은 탁자 위에 몸을 둥근 채 있었다.,"[160, 7, 72, 163, 2, 67]","[137.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,6,137.0,82.0,91.16666666666667
47,해당 소문은 사실이 아닌 것으로 드러났습니다.,"[14, 46, 79, 111, 8, 73, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,7,82.0,82.0,82.0
48,저는 이번 컨퍼런스에 참가할 거예요.,"[142, 144, 153, 28, 93, 160, 161, 162, 163, 14, 79, 17, 82, 37, 53, 102, 118, 44, 109, 52, 117, 30, 95]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based,23,89.0,72.0,79.43478260869566
49,워낙 구하기 힘든 물건이라 윗돈까지 주고 샀다.,"[163, 0, 65, 1, 66, 3, 68]","[137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,7,137.0,82.0,89.85714285714286
50,남편은 백 리 길을 쌀을 지어 나르고 갔다.,"[23, 88, 163, 14, 79, 10, 75, 4, 69, 17, 82, 31, 96]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,13,137.0,82.0,94.6923076923077
51,국에 다진 마늘을 듬뿍 넣어라.,"[2, 67, 13, 78, 23, 88, 42, 107, 60, 125, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,11,82.0,82.0,82.0
52,왜 자꾸 청다보는 거야.,"[163, 14, 79, 13, 78, 141, 148, 172, 140, 145, 149, 150]","[82.0, 82.0, 82.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,12,82.0,72.0,75.33333333333333
53,치수를 재 보자.,"[160, 163, 14, 79, 7, 72, 39, 104, 42, 107, 149]","[82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 74.0]",method1_keyword_rule_based,11,82.0,74.0,78.54545454545455
54,플래시를 터뜨리다.,"[165, 14, 79, 168, 160, 163, 23, 88]","[101.0, 101.0, 101.0, 91.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based,8,101.0,72.0,86.5
55,오늘 저녁은 다슬깃굿이다.,"[44, 109, 160, 161, 162, 163, 15, 80, 149]","[99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based,9,99.0,74.0,84.88888888888889
56,너 그렇게 하다가 분명 후회할 거야.,"[7, 72, 30, 95, 53, 118, 31, 96, 45, 110, 46, 111, 163, 149]","[137.0, 137.0, 99.0, 99.0, 99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 74.0]",method1_keyword_rule_based,14,137.0,74.0,93.07142857142857
57,"월, 수, 금 모두 행사가 있다.","[17, 82, 1, 66, 11, 76, 19, 84, 24, 89, 54, 119, 14, 79, 39, 104, 60, 125, 145, 59, 124, 7, 72]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,23,82.0,72.0,77.8695652173913
58,후라이팬을 사용해서 요리를 했다.,"[163, 7, 46, 72, 111, 14, 79, 160, 161, 162]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,10,82.0,72.0,79.0
59,여기는 군사적인 시설로서 바깥쪽엔 해자가 있다.,"[163, 160]","[82.0, 82.0]",method1_keyword_rule_based,2,82.0,82.0,82.0
60,2023. 4.~9.,[],[],method1_keyword_rule_based,0,0.0,0.0,0.0
61,원가 계산을 합니까? 안 합니까?,"[46, 111, 163, 142, 149, 155]","[82.0, 82.0, 82.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,6,82.0,72.0,77.0
62,디렉터리 구조를 분석해 보자.,"[140, 163, 7, 72, 30, 95, 23, 88]","[89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0, 72.0]",method1_keyword_rule_based,8,89.0,72.0,80.375
63,이번 박람회에서는 반드시 우리 회사의 신제품을 선봬야 한다.,"[37, 102, 59, 124, 142, 144, 153, 160, 161, 162, 163]","[171.0, 171.0, 91.0, 91.0, 89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,11,171.0,82.0,101.72727272727273
64,어머니를 잃고 홀로 밭일을 하는 아버지의 마음도 얼마나 침울했으랴.,"[14, 79, 137, 163, 160, 161, 149, 155]","[94.0, 94.0, 91.0, 82.0, 77.0, 77.0, 76.0, 76.0]",method1_keyword_rule_based,8,94.0,76.0,83.375
65,이전 확장 개업을 축하합니다.,"[160, 161, 162, 163, 46, 111]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,6,82.0,82.0,82.0
66,그럼요. 지금 합니다. 해요.,"[145, 140, 141, 160, 163, 161, 162, 155, 14, 79]","[99.0, 89.0, 89.0, 82.0, 82.0, 77.0, 77.0, 76.0, 74.0, 74.0]",method1_keyword_rule_based,10,99.0,74.0,81.9
67,그는 내 소설을 마음에 들었다.,"[160, 161, 162, 46, 111, 30, 95, 45, 110, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 8, 73, 163]","[137.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,22,137.0,82.0,94.5
68,머리가 히끗한 할머니께서 나오셨다.,"[2, 67, 12, 77, 42, 107, 11, 76, 160, 163, 161, 155]","[99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 94.0, 94.0, 82.0, 82.0, 77.0, 76.0]",method1_keyword_rule_based,12,99.0,76.0,91.58333333333333
69,계란프라이를 먹었다.,"[163, 160, 161, 162]","[77.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,4,77.0,72.0,73.25
70,1920년대에는 식민지 조선에도 신여성이 등장하기 시작했다.,"[22, 87, 145, 163, 160]","[99.0, 99.0, 89.0, 82.0, 77.0]",method1_keyword_rule_based,5,99.0,77.0,89.2
71,선생님 덕분에 병이 다 낫습니다.,"[149, 30, 95, 39, 104, 42, 107, 14, 79, 10, 75, 11, 76, 141]","[91.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 76.0]",method1_keyword_rule_based,14,91.0,76.0,80.07142857142857
72,그 집은 부모 자식 간 정이 두터운 것 같더라.,"[160, 161, 162, 30, 95, 45, 110, 5, 70, 163, 145]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based,11,137.0,74.0,96.27272727272727
73,모두들 만나서 반갑습니다.,"[7, 72, 5, 70, 163, 46, 111, 142, 149, 152, 154, 160, 161]","[96.0, 96.0, 82.0, 82.0, 82.0, 77.0, 77.0, 74.0, 74.0, 74.0, 74.0, 72.0, 72.0]",method1_keyword_rule_based,13,96.0,72.0,79.38461538461539
74,많은 양의 흰자위가 노른자위를 에워싸고 있음.,"[11, 76, 14, 79, 19, 84, 23, 88, 160, 163]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based,10,82.0,77.0,81.0
75,"그것으로부터 시작된 질문: 영혼은 찢어지는 물성인가, 금가고 깨어지는 물성인가 하는 물음 사이","[45, 110, 142, 14, 79, 160, 161, 162, 163, 149, 151, 148, 150, 152, 156]","[99.0, 99.0, 89.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,15,99.0,72.0,81.0
76,용의자가 실종된 그 날은 비가 내렸다.,"[14, 79, 163, 148, 149, 150, 152, 156]","[82.0, 82.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,8,82.0,72.0,75.125
77,그는 밥을 먹으면서 까지도 연신 말을 해 댔다.,"[160, 161, 162, 30, 95, 45, 110, 42, 107, 10, 75, 11, 76, 7, 46, 72, 111]","[137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,17,137.0,72.0,88.17647058823529
78,낮고 둥근 대좌는 연꽃잎이 돋을새김되어 있으며 아래 부분은 없어진 것으로 보인다.,"[30, 95, 11, 76, 163]","[169.0, 169.0, 99.0, 99.0, 82.0]",method1_keyword_rule_based,5,169.0,82.0,123.6
79,짜장을 얼굴에 다 무쳤으면 먹었다.,"[4, 69, 163, 160]","[72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,4,72.0,72.0,72.0
80,씻고 준비하고 있으랬더니 이때 뭐 했어?,"[27, 92, 163, 160]","[99.0, 99.0, 82.0, 82.0]",method1_keyword_rule_based,4,99.0,82.0,90.5
81,모든 서류가 다 있는데도 통과되지 못했다.,"[5, 70, 163, 7, 72, 46, 111]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,7,82.0,82.0,82.0
82,내 사촌 동생은 엄청난 개구장이이다.,"[46, 111, 7, 72, 13, 78, 21, 86, 24, 89, 39, 104, 163, 14, 79]","[137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,15,137.0,82.0,89.33333333333333
83,제가 잘 못 들었나 봐요.,"[163, 11, 76, 14, 79, 13, 78, 42, 107, 25, 90, 41, 106, 58, 123, 59, 124, 52, 117]","[137.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,19,137.0,72.0,78.57894736842105
84,옛몸은 땅에 묻혀 잠들어 있다.,"[2, 67, 39, 104, 42, 107, 14, 79, 60, 125, 156]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 72.0]",method1_keyword_rule_based,11,82.0,72.0,81.0909090909091
85,이번 사업의 성공률은 상당히 높다.,"[142, 144, 153, 160, 161, 162, 163]","[89.0, 89.0, 89.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,7,89.0,82.0,85.0
86,이 냄비는 열보존률이 높지 않다.,"[21, 86, 160, 161, 162, 163, 5, 70, 14, 79]","[169.0, 169.0, 137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,10,169.0,82.0,121.4
87,지원: [놀란 표정을 지으며] 벌써 역에 도착했다고?,"[160, 163, 6, 71]","[82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,4,82.0,82.0,82.0
88,저때 얘기했던 그 사람이 드디어 왔다.,"[14, 79, 56, 121, 163, 7, 72, 13, 78]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0]",method1_keyword_rule_based,9,82.0,77.0,80.88888888888889
89,"잘 사는 사람들은 더 잘 살고, 상대적으로 못 사는 사람들은 더 못 살게 느껴진다는 것이다.","[148, 163, 58, 123, 59, 124, 145, 152, 25, 90, 41, 106]","[89.0, 82.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,12,89.0,72.0,75.25
90,해당 사업은 아직 진행 중입니다.,"[14, 46, 79, 111, 163]","[82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,5,82.0,82.0,82.0
91,"육십갑자: 갑자, 을축, 병인, 정묘, 무진, 기사, 경오, 신미……신유, 임술, 계해","[37, 60, 102, 125, 163]","[99.0, 99.0, 99.0, 99.0, 82.0]",method1_keyword_rule_based,5,99.0,82.0,95.6
92,손으로 만지지 마. 짜지도 말고.,"[163, 44, 109, 26, 91, 160, 10, 75, 12, 77, 31, 96, 61, 126]","[137.0, 97.0, 97.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,14,137.0,82.0,88.07142857142857
93,내레이션이 나오기 시작했다.,"[160, 163, 46, 111, 161, 162, 149, 151]","[82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 74.0, 74.0]",method1_keyword_rule_based,8,82.0,74.0,77.5
94,토끼가 깡충깡충 뛰어갔다.,"[46, 111, 160, 163]","[94.0, 94.0, 72.0, 72.0]",method1_keyword_rule_based,4,94.0,72.0,83.0
95,탑신 각 면에는 양쪽 귀퉁이에 넓직한 우주를 두드러지게 본떠 새겨 둔중한 느낌이 난다.,"[14, 79, 13, 78, 24, 89, 0, 65, 11, 76, 42, 107, 53, 118, 30, 95]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,16,82.0,77.0,79.5
96,수업 시간에 샤프를 사용해서 공책에 문제를 풀었다.,"[15, 30, 80, 95, 160, 163, 161, 162]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,8,82.0,82.0,82.0
97,아직 한국말에 서툴러서 잘 알아듣지 못해도 이해해 줘.,"[7, 46, 72, 111, 25, 90, 41, 106, 58, 123, 59, 124]","[72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,12,72.0,72.0,72.0
98,아기가 엄마 품속에서 잠들 듯이 강아지도 어미에게 안겨 잠든다.,"[160, 161, 162, 163, 5, 70, 156]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based,7,82.0,74.0,80.85714285714286
